Area,Storage Unit,Shelf/Container,Category,Item,Theme/Design,Notes
Craft Room,Cart 1,Shelf 1,Equipment,Pink Cricut Explore Air 2 Machine,,
Craft Room,Cart 1,Shelf 1,Equipment,Ryobi Cordless Glue Gun,,
Craft Room,Cart 1,Shelf 1,Paper,8.5 x 11 Printer paper - 20lb.,,
Craft Room,Cart 1,Shelf 1,Vinyl,Printable Vinyl,,
Craft Room,Cart 1,Shelf 1,Lamination,8.5 x 11 Heat Laminate Pouches - Clear ,,
Craft Room,Cart 1,Shelf 1,Equipment,Cricut Large Press,,
Craft Room,Cart 1,Shelf 1,Equipment,Cricut Mini Press,,
Craft Room,Cart 1,Shelf 1,Equipment,Electric Pencil Sharpener,,
Craft Room,Cart 1,Shelf 1,Accessories,Ryobi Cordless Batteries and Charger,,
Craft Room,Cart 1,Shelf 2,Lamination,Self-Seal Laminate Sheets - Holographic,,
Craft Room,Cart 1,Shelf 2,Cardstock,12 x 12 Designer Cardstock,,
Craft Room,Cart 1,Shelf 2,Lamination,8.5 x 11 Self-Seal Laminate Sheets - Clear,,
Craft Room,Cart 1,Shelf 3,Cardstock,12 x 12 Designer Cardstock,,
Craft Room,Cart 1,Shelf 3,Cardstock,8 x 12 Colored Cardstock,,Stored visibly
Craft Room,Cart 1,Shelf 3,Labels,8.5 x 11 Printable Waterproof Sticker Vinyl,,
Craft Room,Cart 1,Shelf 3,Labels,8.5 x 11 Sticker Paper - Yellow Backing,,
Craft Room,Cart 1,Shelf 3,Paper,8.5 x 11 Light & Dark Transfer Paper,,
Craft Room,Cart 1,Shelf 3,Vinyl,8.5 x 11 Printable Heat Transfer - Light Fabric,,
Craft Room,Cart 1,Shelf 3,Vinyl,8.5 x 11 Printable Heat Transfer - Dark Fabric,,
Craft Room,Cart 1,Shelf 3,Vinyl,8.5 x 11 Printable Sticker Vinyl  - Glossy White,,
Craft Room,Cart 1,Shelf 3,Paper,8.5 x 11 Printable Clear Sticker Paper - Matte,,
Craft Room,Cart 1,Shelf 3,Paper,8.5 x 11 Printable Clear Sticker Paper - Glossy,,
Craft Room,Cart 1,Shelf 3,Adhesives & Tape,12 x 12 Double-Side Adhesives & Tape Sheets,,
Craft Room,Cart 1,Shelf 3,Equipment,Brother MFC-J4535DW Investment Tank Printer,,
Craft Room,Cart 1,Shelf 3 ,Paper,8.5 x 11 Glossy Photo Paper,,
Craft Room,Cart 1,Shelf 4,Equipment,Laminator,,
Craft Room,Cart 1,Shelf 4,Equipment,Cricut Maker 4 - Sage,,
Craft Room,Cart 1,Shelf 4,Accessories,Self-Healing Cut Mat - 18in.,,
Craft Room,Cart 1,Shelf 4,Writing & Drawing Tools,Cricut Fine Point Pens - 30ct. Assorted Colors,,
Craft Room,Cart 1,Shelf 4,Cricut Accesspries,Cricut Scoring Stylus,,
Craft Room,Cart 1,Shelf 4,Vinyl Tools,Vinyl Weeder,,
Craft Room,Cart 1,Shelf 4,Paper Crafting Tools,Quilling Tool,,
Craft Room,Cart 1,Shelf 5,Embellishments,Pre-Made Paper Flowers,,
Craft Room,Cart 1 ,Shelf 2,Printer Supplies,Investment Tank Ink Refill - Black,,
Craft Room,Cart 1 ,Side Hook,Accessories,Various 12 x 12 Cut mats,,
Craft Room,Cart 2,Shelf 1,Tools & Hardware,Heat Gun,,
Craft Room,Cart 2,Shelf 4/Container 11,Cardstock,8.5 x 11 Kraft Cardstock,,
Craft Room,Cart 2,Shelf 4/Container 11,Cardstock,8.5 x 11 Black Cardstock,,Currently out of stock
Craft Room,Cart 2,Shelf 4/Container 11,Cardstock,8.5 x 11 Pink Cardstock,,
Craft Room,Cart 2,Shelf 4/Container 11,Cardstock,8.5 x 11 Orange Cardstock,,
Craft Room,Cart 2,Shelf 5,Paper,8.5 x 11 Printer Paper - 32lb.,,
Craft Room,Cart 2,Shelf 5,Cardstock,12 x 12 Heavy Chipboard,,
Craft Room,Cart 2,Shelf 2,Unknown,To be identified,,
Craft Room,Cart 2,Shelf 3,Unknown,To be identified,,
Craft Room,Cart 3,Shelf 1,Accessories,Guillotine Paper Cutter,,
Craft Room,Cart 3,Shelf 2,Unknown,To be identified,,
Craft Room,Cart 3,Shelf 3,Unknown,To be identified,,
Craft Room,Cart 3,Shelf 4,Unknown,To be identified,,
Craft Room,Cart 3 ,Shelf 5,Unknown,To be identified,,
Craft Room,Cart 4,Shelf 1,Unknown,To be identified,,
Craft Room,Cart 4,Shelf 2,Unknown,To be identified,,
Craft Room,Cart 4,Shelf 3,Unknown,To be identified,,
Craft Room,Cart 4,Shelf 4,Unknown,To be identified,,
Craft Room,Cart 4,Shelf 5,Unknown,To be identified,,
